,Last Raced,Pgm,jockey_first_name,jockey_last_name,PP,Start,1/4,1/2,3/4,Str,Fin,Odds,Comments,horse_name,Last Raced_super_script,1/4_length_behind,1/2_length_behind,3/4_length_behind,Str_length_behind,Fin_length_behind,Wgt,M/E,Start_RLP,1/4_RLP,1/2_RLP,3/4_RLP,Str_RLP,Fin_RLP,1/4_length_behind_RLP,1/2_length_behind_RLP,3/4_length_behind_RLP,Str_length_behind_RLP,Fin_length_behind_RLP,track,date,race_num,criteria,track_length,purse,weather,track_type,off_time,start,race_type,claiming_price,3/8,3/8_length_behind,3/8_RLP,3/8_length_behind_RLP,Str 1,Ind. Time,Sp. In.,Str 1_length_behind,Str 1_RLP,Str 1_length_behind_RLP,3/16,3/16_length_behind,3/16_RLP,3/16_length_behind_RLP,Str1,Str1_length_behind,Str1_RLP,Str1_length_behind_RLP
0,2Oct22 BAQ,7.0,Javier,Castellano,7.0,2.0,2,2,1,1,1,1.95,"chased 5-4w, w",Fireline ,1 5,1/2,1 1/2,2,10 1/2,13 1/2,119,- -,,,,,,,,,,,,Aqueduct,"November 4, 2022",1,"(UP TO $14,790 NYSBFOA) FOR MAIDENS, FILLIES TWO YEARS OLD", One Mile On The Dirt,"$85,000",Clear,Fast,11:38,"Good for all except 2,6",maiden special weight,,,,,,,,,,,,,,,,,,,
1,---,1.0,Eric,Cancel,1.0,4.0,4,4,3,2,2,5.40,"4w upper, kept",Guns n' Graces ,,3,4,4,1/2,2 1/2,119,- -,,,,,,,,,,,,Aqueduct,"November 4, 2022",1,"(UP TO $14,790 NYSBFOA) FOR MAIDENS, FILLIES TWO YEARS OLD", One Mile On The Dirt,"$85,000",Clear,Fast,11:38,"Good for all except 2,6",maiden special weight,,,,,,,,,,,,,,,,,,,
2,---,4.0,Trevor,McCarthy,4.0,6.0,7,6,4,4,3,6.00,"2-3w upper, imp",Serena's Court ,,,1,3,8,1 1/4,119,- -,,,,,,,,,,,,Aqueduct,"November 4, 2022",1,"(UP TO $14,790 NYSBFOA) FOR MAIDENS, FILLIES TWO YEARS OLD", One Mile On The Dirt,"$85,000",Clear,Fast,11:38,"Good for all except 2,6",maiden special weight,,,,,,,,,,,,,,,,,,,
3,4Sep22 SAR,3.0,Kendrick,Carmouche,3.0,3.0,1,1,2,3,4,1.65*,"2w 1/4p, weake",Avant ,7 7,Head,1/2,3 1/2,2 1/2,13 3/4,119,- -,,,,,,,,,,,,Aqueduct,"November 4, 2022",1,"(UP TO $14,790 NYSBFOA) FOR MAIDENS, FILLIES TWO YEARS OLD", One Mile On The Dirt,"$85,000",Clear,Fast,11:38,"Good for all except 2,6",maiden special weight,,,,,,,,,,,,,,,,,,,
4,---,5.0,Hector,Diaz  Jr.,5.0,5.0,6,7,6,6,5,6.20,"chased 6-5w, n",Accidental Icon ,,2,,1 1/2,6 1/2,3 1/2,120,b,,,,,,,,,,,,Aqueduct,"November 4, 2022",1,"(UP TO $14,790 NYSBFOA) FOR MAIDENS, FILLIES TWO YEARS OLD", One Mile On The Dirt,"$85,000",Clear,Fast,11:38,"Good for all except 2,6",maiden special weight,,,,,,,,,,,,,,,,,,,
5,---,6.0,Omar,Hernandez Moreno,6.0,1.0,3,3,5,5,6,52.00,"awkward st, falt",Appalachian Trail ,,1/2,Head,5,1 1/2,9 1/4,112,- -,,,,,,,,,,,,Aqueduct,"November 4, 2022",1,"(UP TO $14,790 NYSBFOA) FOR MAIDENS, FILLIES TWO YEARS OLD", One Mile On The Dirt,"$85,000",Clear,Fast,11:38,"Good for all except 2,6",maiden special weight,,,,,,,,,,,,,,,,,,,
6,---,2.0,Jose,Gomez,2.0,7.0,5,5,7,7,7,36.00,"off beat slow, e",Mean Mongol ,,3,3,,,,114,- -,,,,,,,,,,,,Aqueduct,"November 4, 2022",1,"(UP TO $14,790 NYSBFOA) FOR MAIDENS, FILLIES TWO YEARS OLD", One Mile On The Dirt,"$85,000",Clear,Fast,11:38,"Good for all except 2,6",maiden special weight,,,,,,,,,,,,,,,,,,,
7,6Oct22 BAQ,6.0,Jorge,Vargas  Jr.,6.0,1.0,3,2,,1,1,4.20,"3w pursuit, drew cle",Digital Future ,6 3,2,1/2,,3,5,122,L bf,,,,,,,,,,,,Aqueduct,"November 4, 2022",2,"(UP TO $9,570 NYSBFOA) FOR THREE YEAR OLDS AND UPWARD WHICH HAVE STARTED FOR A CLAIMING PRICE OF $50,000 OR LESS AND WHICH HAVE NEVER WON A RACE OTHER THAN MAIDEN OR CLAIMING", Six Furlongs On The Dirt,"$55,000",Cloudy,Fast,12:16,Good for all except 2,starter allowance,"$50,000",,,,,,,,,,,,,,,,,,
8,6Oct22 BAQ,4.0,Javier,Castellano,4.0,4.0,4,4,,2,2,0.55*,"chased 2-3w, ran on",Blinding Light ,6 2,1,1 1/2,,Head,2 3/4,120,L f,,,,,,,,,,,,Aqueduct,"November 4, 2022",2,"(UP TO $9,570 NYSBFOA) FOR THREE YEAR OLDS AND UPWARD WHICH HAVE STARTED FOR A CLAIMING PRICE OF $50,000 OR LESS AND WHICH HAVE NEVER WON A RACE OTHER THAN MAIDEN OR CLAIMING", Six Furlongs On The Dirt,"$55,000",Cloudy,Fast,12:16,Good for all except 2,starter allowance,"$50,000",,,,,,,,,,,,,,,,,,
9,15Oct22 BAQ,1.0,Hector,Diaz  Jr.,1.0,2.0,2,3,,3,3,6.30,"pressed ins, wknd la",Holey Matrimony ,5 1,1/2,2 1/2,,1/2,3/4,122,L f,,,,,,,,,,,,Aqueduct,"November 4, 2022",2,"(UP TO $9,570 NYSBFOA) FOR THREE YEAR OLDS AND UPWARD WHICH HAVE STARTED FOR A CLAIMING PRICE OF $50,000 OR LESS AND WHICH HAVE NEVER WON A RACE OTHER THAN MAIDEN OR CLAIMING", Six Furlongs On The Dirt,"$55,000",Cloudy,Fast,12:16,Good for all except 2,starter allowance,"$50,000",,,,,,,,,,,,,,,,,,
